漢字,振り仮名,上の方が優先されます！,最初の順番,文字数
備前国,びぜんのくに,,96,3
土佐国,とさのくに,,97,3
伯耆国,ほうきのくに,,98,3
周防国,すおうのくに,,99,3
長門国,ながとのくに,,100,3
美濃国,みののくに,,101,3
安芸国,あきのくに,,102,3
越前国,えちぜんのくに,,103,3
肥後国,ひごのくに,,104,3
大隅国,おおすみのくに,,105,3
丹後国,たんごのくに,,106,3
武蔵国,むさしのくに,,107,3
遠江国,とおとうみのくに,,108,3
豊前国,ぶぜんのくに,,109,3
下野国,しもつけのくに,,110,3
大和国,やまとのくに,,111,3
筑前国,ちくぜんのくに,,112,3
伊予国,いよのくに,,113,3
三河国,みかわのくに,,114,3
播磨国,はりまのくに,,115,3
上野国,こうずけのくに,,116,3
上総国,かずさのくに,,117,3
伊豆国,いずのくに,,118,3
伊勢国,いせのくに,,119,3
柳生庄,やぎゅうのしょう,,120,3
各々方,おのおのがた,,121,3
南宮山,なんぐうさん,,122,3
三重県,みえけん,,123,3
五箇山,ごかやま,,124,3
神通川,じんつうがわ,,125,3
灯|り,あか|り,,127,3
高虎殿,たかとらどの,,174,3
家臣団,かしんだん,,179,3
3|日,3|か,,184,3
中山道,なかせんどう,,185,3
桃配山,ももくばりやま,,190,3
笹尾山,ささおやま,,191,3
出来人,できびと,,196,3
追放令,ついほうれい,,201,3
四角形,しかっけい,,203,3
一|つ,ひと|つ,,225,3
一番下,いちばんした,,226,3
我|が,わ|が,,231,3
総大将,そうだいしょう,,234,3
白頭巾,しろずきん,大谷吉継,268,3
岐山,きざん,,133,2
兵法,へいほう,,134,2
全登,てるずみ,,135,2
三成,みつなり,,136,2
返歌,へんか,,137,2
三本,さんぼん,,138,2
主翼,しゅよく,,139,2
一花,ひとはな,,140,2
北国,ほっこく,,141,2
内府,ないふ,,142,2
剛槍,ごうそう,,143,2
酒虫,しゅちゅう,,144,2
茂木,もてぎ,,145,2
直鋒,ちょくほう,,146,2
初撃,しょげき,,147,2
四男,よんなん,,148,2
四国,しこく,,149,2
百世,ももよ,,150,2
忍従,にんじゅう,,151,2
吉川,きっかわ,,152,2
秀吉,ひでよし,,153,2
忠吉,ただよし,,154,2
打首,うちくび,,155,2
追放,ついほう,,156,2
大勢,たいせい,,157,2
愛宕,あたご,,158,2
正則,まさのり,,159,2
秀次,ひでつぐ,,160,2
乱世,らんせ,,161,2
領国,りょうごく,,162,2
正信,まさのぶ,,163,2
直家,なおいえ,,164,2
接敵,せってき,,165,2
豊家,ほうけ,,166,2
刑部,ぎょうぶ,,167,2
大勢,たいせい,,168,2
安治,やすはる,,169,2
減封,げんぽう,,170,2
西国,さいごく,,171,2
城主,じょうしゅ,,172,2
宗厳,むねよし,,173,2
高虎,たかとら,,175,2
具足,ぐそく,,176,2
万人,まんにん,,180,2
家臣,かしん,,181,2
一気,いっき,,182,2
小山,おやま,,183,2
一矢,いっし,,187,2
上田,うえだ,,188,2
大窓,おおまど,,189,2
脇坂,わきざか,,192,2
脇楯,わきだて,,194,2
朽木,くつき,,195,2
敬親,たかちか,,198,2
三河,みかわ,,204,2
大身,たいしん,,206,2
家名,かめい,,207,2
小倉,こくら,,208,2
三矢,さんし,,212,2
上下,じょうげ,,213,2
召喚,しょうかん,,214,2
三男,さんなん,,215,2
一国,いっこく,,216,2
一揆,いっき,,217,2
一介,いっかい,,218,2
一豊,かずとよ,,219,2
一緒,いっしょ,,220,2
一騎,いっき,,221,2
一度,いちど,,222,2
唯一,ゆいいつ,,223,2
統一,とういつ,,224,2
一人,ひとり,,232,2
万石,まんごく,,233,2
仇,かたき,,209,1
粋,すい,,210,1
奸,がまり,,211,1
一,いち,,240,1
二,に,,241,1
三,さん,,242,1
四,よん,,243,1
五,ご,,244,1
六,ろく,,245,1
七,なな,,246,1
八,はち,,247,1
九,きゅう,,248,1
十,じゅう,,249,1
百,ひゃく,,250,1
千,せん,,251,1
万,まん,,252,1
,,,177,0
,,,205,0
,,,235,0
,,,236,0
,,,237,0
,,,238,0
,,,239,0
,,,253,0
,,,254,0
