名前,番号,ページ,質問,回答キャラ,回答,解説,東西
島左近,11,23,俸禄とはなんのことか分かるだろうか？,シオリン1,"多分、<span class=""A"">お給料</span>のことじゃないかしら？",よく知っておるな。俸禄というのは主君から仕事や役職の対価として頂く土地や金、米のことだ。若かりし頃の石田三成殿は、4万石の領地に任じられた時に、その半分の2万石を割いてまで、この私を招いてくださったのだ。,西軍
石田三成,12,25,関ヶ原の戦いの原因は何か答えてみよ,シオリン1,"うーん……、三成さんのお話を聞いていると偶然とも思えるけど、ここは<span class=""A"">豊臣秀吉さんが亡くなった後の皆の意見が合わなかったこと</span>かしら？",難しい問いによくぞ答えてくれた。関ヶ原の戦いは太閤様が亡くなられる前から既にあった諍いが大きくなってしまった結果、東軍と西軍に分かれて争わざるを得なくなったものだったのだ。,西軍
大谷吉継,13,27,我が友と言えば、誰か分かるか？,シオリン1,"もっちろん！ <span class=""A""> 石田三成</span>さんよ！",ふふ、やはり知っておったか。私は同期の者たちの中でも交友関係は広い方だったが、その中でも最も懇意にしていたのが三成だ。亡き太閤様の茶会に出た時に、病気の私の膿が入ってしまった茶を、三成は飲み干してくれて、面目を保ってくれたぐらいだからな。,西軍
平塚為広,14,29,私の子孫といえば、誰か分かりますか？,ハマボウ1,"平塚の苗字で聞いたことがあるのは、<span class=""A"">平塚らいてう</span>ぐらいかなぁ……。",大丈夫、正解ですよ。実は私の300年後の子孫が平塚らいてうなんです。私のような武士ではなく、平民たちが皆で政治をするようになった大正時代から昭和時代にかけて、男性だけではなく、女性も選挙に参加できるように訴え続けた人物だそうですよ。,西軍
小西行長,15,31,ワシのようなキリスト教を信じていた者をなんというか、知っておるか？,ハマボウ1,"戦国時代とか江戸時代にキリスト教を信じていた人と言えば、<span class=""A"">キリシタン</span>だよね。",そうじゃ。フランシスコ・ザビエルが日ノ本にやって来てから、ワシや明石全登殿のようにキリスト教に入った者は増え続けていたのじゃ。黒田長政殿も元はキリシタンだったと聞くぞ。でも豊臣秀吉様はバテレン追放令を出したり、二十六人の宣教師を処刑したり、と時代はキリシタンを認めない方向に動いていたのじゃ。,西軍
島津義弘,16,33,おいん故郷はどっか分かっか？,ハマボウ1,"その口調……<span class=""A"">薩摩国</span>、今の鹿児島県ではないですか？",やっぱい分かりやしか。そう、おいと甥ん島津豊久は薩摩ん生まれだ。島津は薩摩から九州全土を席巻すっ所やったんだが、豊臣秀吉に征伐されてしもてな。関ヶ原ん時は、国許で一揆ん対応しちょった兄貴ん代わりに、はっばっ行たんじゃ。,西軍
島津豊久,17,35,おいたちが使うた、薩摩ならではん戦法はなんじゃ？,ハマボウ1,"関ヶ原の時に使ったのは……<span class=""A"">捨て奸</span>でしたっけ？",そん通り。おいは伯父貴ん島津義弘を薩摩に帰すために、捨て奸ちゅう戦法を使うたんじゃ。火縄銃を持ち、弾を外さんごつ地面に座り込んで迫り来っ敵を撃つど。こいを1人ずつ、けしんだや次んし、けしんだや次んし……と繰り返す。こげん戦法は肝が据わっちょっ薩摩もんじゃなきゃできん。,西軍
大野治長,18,37,私がお傍についていた相手は誰か、答えてみよ。,シュン5,"これは、たしか<span class=""A"">淀殿</span>だったよな。",ちゃんと話を聞いておったようだな。そう、私は淀殿と乳母が同じ乳兄弟だったので、いわば共に育ったということになる。関ヶ原が終わった後、大坂に赴いた時も、淀殿との縁があったので徳川に戻るのではなく豊臣と運命をともにすることを選んだのだ。,東軍
可児才蔵,19,39,私が笹を刺した首級の数は、いくつか答えてみてくれ。,ハマボウ5,"これは……たしか<span class=""A"">17</span>だったような？  17人も討ち取るなんて凄いですね！",ハッハッハッ、細かい所もよく聞いているではないか。そうだ、私は17人も討ち取って見せた。当時それを示すには首実検に首を持っていかなければならなかったのだが、さすがに17の首全てを持っていく訳には参らなかったので笹を刺して示したというわけだ。笹と酒がおなじささと読むから手向けの意味もあったのだ。,東軍
福島正則,20,41,俺様が関ヶ原の後にもらった場所はどこだ？,シュン5,"これは<span class=""A"">広島</span>って言ってたぜ！",ワーハッハッハッ、よく聞いてるじゃねえか小僧！  そうだ、俺は東軍西軍どっちつかずな態度を取って減封された毛利輝元の領地だった広島498000石を手に入れたんだぜ。関ヶ原の前と比べりゃ倍になったんだ。せっかく建てた広島城をそっくりそのまま取られちまうなんて哀れな話だよな。……なんだその顔は、改易の話はもうよしてくれよ……とほほ。,東軍
山内一豊,21,43,関ヶ原の後、手前が転封になった先はどこでごさいましょう？,シュン5,"それは<span class=""A"">土佐国</span>だぜ！  土佐藩になったんだよな！  山内容堂とか聞いたことあるぜ！",天晴れ、その通りでございます。当初は10万石程でしたが実際は20万石以上もあったのですよ。最初は旧領主の長宗我部の残党を治めるのに苦労することになりました。そして、手前の土佐藩はあなたの言う通り、土佐藩最後の藩主山内容堂そして、浪士となった坂本龍馬を初めとして、あの江戸幕府を倒す中核を担ったと聞いておりますよ。,東軍
細川忠興,22,45,俺の最愛の妻の名を答えよ。答えられなければ、どうなるか。分かっているな？,シュン5,"ひえぇぇ……えーと、<span class=""A"">ガラシャ</span>さんですよね。",フン、首の皮は繋がったようだな。そうだガラシャだ。ガラシャはキリスト教に入信した時の洗礼名で、元は本能寺の変で織田信長を討った明智光秀の娘だからな、本名は違うのだ。本名が違うといえば、俺自身も関ヶ原の頃、長岡忠興を名乗っていたな。脳みそに焼き付けておけ。,東軍
細川興元,23,47,僕の兄は誰でしょうか？,シオリン5,"えと……<span class=""A"">細川忠興</span>さんじゃないかしら？",そうだね。名字が同じだから分かりやすかったかな？  僕の兄は気難しい人だったから僕との仲も良いものではなかった、とされるけど、僕と仲が良かったという噂もあって、はっきり言えるものじゃないんだ。僕としても掴みづらい人だったよ。,東軍
柳生宗矩,24,49,江戸幕府において、剣術として認められた儂の流派はなんと言うか、分かるか？,ハマボウ5,"江戸幕府公認の流派といえば<span class=""A"">柳生新陰流</span>ですよね。",その通り。室町時代に生まれた陰流から派生した新陰流を、更に父の宗厳と共に発展させて編み出した流派が柳生新陰流だ。素手で戦う柔術を剣術に組み込んだのが特徴で、儂が得意とした無刀取りも、その範疇にある。,東軍
後藤又兵衛,25,51,俺が得意としていた武器といえば……、分かるだろ？,シュン5,"それは<span class=""A"">槍</span>だよ！  槍の又兵衛って有名だもん！",おぉ！  俺の二つ名までよく知ってるじゃねぇか。俺は朝鮮の役で戦場を共にした母里太兵衛って奴の窮地を救ってやった事があってな、日本号という名槍をもらったんだ。関ヶ原でもそれを持って大暴れ、敵と一騎打ちまでしてやったんだ。ハハハ。,東軍
黒田長政,26,53,福岡の街を築いたのは誰か、答えてみよ。,ハマボウ5,"……それは、<span class=""A"">黒田長政</span>さん、あなたです！",まさか出題者が答えとは思うまいと思ったが……正解だ。400年後の未来では九州一の人口を抱えていると聞いている福岡は、実は私や私の子孫が開発したのだ。元々小早川秀秋が居城にしていた名島は手狭だったので、近くの福崎という所を、我が父祖伝来の地、備前国福岡にちなんで改名したのが始まりだ。,東軍
藤堂高虎,27,55,わしが新しく始めた天守閣の形式はなんというか分かるだろうか？,ハマボウ5,"高虎さんはたしか築城の名手って呼ばれていたような……。あっ、<span class=""A"">層塔式天守</span>じゃないですか？",ふむ……よく聞いておるようだ。作事の見込みがあるな。そう、関ヶ原の後、新しく手に入れた今治城で、わしはそれまでの望楼式天守ではなく、四角形型の構造物を積み上げていく層塔式天守を試したのだ。これが頑丈で無駄がなく、作業の分担もしやすいということで他の城の手本となった。,東軍
池田輝政,28,57,私が改築して、世界遺産となった城はなんだ？,ハマボウ5,"世界遺産の城と言えば、<span class=""A"">姫路城</span>ですよね？",その通り。私は関ヶ原に赴く東軍の通り道にあった三河国吉田から、播磨国姫路に移った。この時、姫路52万石の太守として、徳川の縁戚として、相応しいように大幅な改築を施したのが姫路城だ。白色の漆喰が輝く姫路城は白鷺城の別名もあるぞ。太平洋戦争において幸運にも壊されず、人々の心の支えになったそうだ。,東軍
徳川家康,29,59,関ヶ原から3年後に儂が開いたものはなんじゃ？,シュン5,"これは分かるぜ！　<span class=""A"">江戸幕府</span>だ！",うむ、儂の築いたものが、400年後も知られているなんて嬉しいことじゃ。豊臣秀吉によって生まれ故郷の岡崎を離れて江戸に移った儂じゃが、関ヶ原が終わった頃には数え切れないほどの領地を持っておった。この権勢は日ノ本全ての人々の認める所となり、儂は征夷大将軍に任じられて265年の長きに渡る江戸時代の立役者となったのじゃ。,東軍
松平忠吉,30,61,私の鎧の色は何色だったか、分かりますか？,シュン5,"たしか、<span class=""A"">銀色</span>の鎧を着ていた気がするぜ！",ええ、ご名答です。私は舅で百戦錬磨の井伊直政殿とは対照的な銀色の甲冑を着て関ヶ原に臨みました。そのおかげか初陣でも活躍することができました。風の噂によれば、私の甲冑は今の愛知県名古屋市の徳川美術館に置かれているそうですよ。,東軍
井伊直政,31,63,拙者の井伊隊は何色の軍装が特徴だったか分かるでござるか？,シュン5,"<span class=""A"">赤色</span>だぜ！  井伊の赤備えって有名なんだぜ！",よく知っているでござるな。その通り、我らが井伊は赤備えと呼ばれる赤色の鎧で統一した隊を率いていたのでござる。実は赤備えは徳川と長い間争っていた武田家に仕えていた山県昌景と呼ばれる武将が率いていたのを、武田家滅亡後に引き取ったことが始まりなのでござるよ。厳しい訓練に耐えた我が隊は徳川の主力を成す花形だったのでござる。,東軍
本多忠勝,32,65,俺が肩から提げていたのは何か、答えてみろ！,シオリン5,"はい！  <span class=""A"">金色の大きな数珠</span>です！",よろしい！  俺は三河一向一揆の時に反乱を起こした浄土真宗を見限って、主君徳川家康のために浄土宗に改宗したんだが、こう見えて御仏を深く信じていてな、俺が戦で葬った敵を弔えるようにと身につけていたもんなのさ。,東軍
本多忠朝,33,67,おいらの手に持ってる、コレはなーんだ？,シオリン5,"ちょっと！  その臭いは<span class=""A"">お酒</span>じゃない！  お父さんにダメって言われたんじゃないの？",なんで分かるんだよぉ。そりゃいっつも飲んでるならダメだけど、たまに飲むぐらいならいいじゃないか……って親父にも言ったんだけど、そういう心では勇気があっても大きな失敗に繋がるぞって言われてさ……。ここだけの話、大坂冬の陣で大失敗してるんだよね……。,東軍
本多正純,34,69,私の父は誰か、分かるかい？,ハマボウ5,"本多というと他にも有名な人がいますけど、正の字と雰囲気が<span class=""A"">本多正信</span>さんに通じますよね。",私の父のことだけじゃなくて他の本多のことも知っているなんて凄いな。君の言う通り、本多には本多忠勝殿とかもいるけど、同じ名字でも同じ家という訳ではないんだ。私の父が三河一向一揆の時に裏切った時、同じ本多を名乗らないで欲しい言われたらしいよ。なかなか難しいよね。,東軍
