名前,番号,ページ,質問,回答キャラ,回答,解説,東西
<ruby>島左近<rt>しまさこん</rt></ruby>,11,49,<ruby>俸禄<rt>ほうろく</rt></ruby>とはなんのことかわかるだろうか？,シオリン6,"<ruby>多分<rt>たぶん</rt></ruby>、<span class=""A"">お<ruby>給料<rt>きゅうりょう</rt></ruby></span>のことじゃないかしら？",よく<ruby>知<rt>し</rt></ruby>っておるな。<ruby>俸禄<rt>ほうろく</rt></ruby>というのは<ruby>主君<rt>しゅくん</rt></ruby>から<ruby>仕事<rt>しごと</rt></ruby>や<ruby>役職<rt>やくしょく</rt></ruby>の<ruby>対価<rt>たいか</rt></ruby>として<ruby>頂<rt>いただ</rt></ruby>く<ruby>土地<rt>とち</rt></ruby>や<ruby>金<rt>かね</rt></ruby>、<ruby>米<rt>こめ</rt></ruby>のことだ。<ruby>若<rt>わか</rt></ruby>かりし<ruby>頃<rt>ころ</rt></ruby>の<ruby>石田<rt>いしだ</rt></ruby><ruby>三成<rt>みつなり</rt></ruby><ruby>殿<rt>どの</rt></ruby>は、4<ruby>万石<rt>まんごく</rt></ruby>の<ruby>領地<rt>りょうち</rt></ruby>に<ruby>任<rt>にん</rt></ruby>じられた<ruby>時<rt>とき</rt></ruby>に、その<ruby>半分<rt>はんぶん</rt></ruby>の2<ruby>万石<rt>まんごく</rt></ruby>を<ruby>割<rt>さ</rt></ruby>いてまで、この<ruby>私<rt>わたし</rt></ruby>を<ruby>招<rt>まね</rt></ruby>いてくださったのだ。,西軍
<ruby>石田<rt>いしだ</rt></ruby><ruby>三成<rt>みつなり</rt></ruby>,12,51,<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>戦<rt>たたか</rt></ruby>いの<ruby>原因<rt>げんいん</rt></ruby>は<ruby>何<rt>なに</rt></ruby>か<ruby>答<rt>こた</rt></ruby>えてみよ。,シオリン5,"うーん……、<ruby>三成<rt>みつなり</rt></ruby>さんのお<ruby>話<rt>はなし</rt></ruby>を<ruby>聞<rt>き</rt></ruby>いていると<ruby>偶然<rt>ぐうぜん</rt></ruby>とも<ruby>思<rt>おも</rt></ruby>えるけど、ここは<span class=""A""><ruby>豊臣秀吉<rt>とよとみひでよし</rt></ruby>さんが<ruby>亡<rt>な</rt></ruby>くなった<ruby>後<rt>あと</rt></ruby>のみんなの<ruby>意見<rt>いけん</rt></ruby>が<ruby>合<rt>あ</rt></ruby>わなかったこと</span>かしら？",<ruby>難<rt>むずか</rt></ruby>しい<ruby>問<rt>と</rt></ruby>いによくぞ<ruby>答<rt>こた</rt></ruby>えてくれた。<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>戦<rt>たたか</rt></ruby>いは<ruby>太閤<rt>たいこう</rt></ruby><ruby>様<rt>さま</rt></ruby>が<ruby>亡<rt>な</rt></ruby>くなられる<ruby>前<rt>まえ</rt></ruby>から<ruby>既<rt>すで</rt></ruby>にあった<ruby>諍<rt>いさか</rt></ruby>いが<ruby>大<rt>おお</rt></ruby>きくなってしまった<ruby>結果<rt>けっか</rt></ruby>、<ruby>東軍<rt>とうぐん</rt></ruby>と<ruby>西軍<rt>せいぐん</rt></ruby>に<ruby>分<rt>わ</rt></ruby>かれて<ruby>争<rt>あらそ</rt></ruby>わざるを<ruby>得<rt>え</rt></ruby>なくなったものだったのだ。,西軍
<ruby>大谷吉継<rt>おおたによしつぐ</rt></ruby>,13,53,<ruby>我<rt>わ</rt></ruby>が<ruby>友<rt>とも</rt></ruby>といえば、<ruby>誰<rt>だれ</rt></ruby>かわかるか？,シオリン8,"もっちろん！ <span class=""A""> <ruby>石田<rt>いしだ</rt></ruby><ruby>三成<rt>みつなり</rt></ruby></span>さんよ！",ふふ、やはり<ruby>知<rt>し</rt></ruby>っておったか。<ruby>私<rt>わたし</rt></ruby>は<ruby>同期<rt>どうき</rt></ruby>の<ruby>者<rt>もの</rt></ruby>たちの<ruby>中<rt>なか</rt></ruby>でも<ruby>交友<rt>こうゆう</rt></ruby><ruby>関係<rt>かんけい</rt></ruby>は<ruby>広<rt>ひろ</rt></ruby>い<ruby>方<rt>ほう</rt></ruby>だったが、その<ruby>中<rt>なか</rt></ruby>でも<ruby>最<rt>もっと</rt></ruby>も<ruby>懇意<rt>こんい</rt></ruby>にしていたのが<ruby>三成<rt>みつなり</rt></ruby>だ。<ruby>亡<rt>な</rt></ruby>き<ruby>太閤<rt>たいこう</rt></ruby><ruby>様<rt>さま</rt></ruby>の<ruby>茶会<rt>ちゃかい</rt></ruby>に<ruby>出<rt>で</rt></ruby>た<ruby>時<rt>とき</rt></ruby>に、<ruby>病気<rt>びょうき</rt></ruby>の<ruby>私<rt>わたし</rt></ruby>の<ruby>膿<rt>うみ</rt></ruby>が<ruby>入<rt>はい</rt></ruby>ってしまった<ruby>茶<rt>ちゃ</rt></ruby>を、<ruby>三成<rt>みつなり</rt></ruby>は<ruby>飲<rt>の</rt></ruby>み<ruby>干<rt>ほ</rt></ruby>してくれて、<ruby>面目<rt>めんぼく</rt></ruby>を<ruby>保<rt>たも</rt></ruby>ってくれたぐらいだからな。,西軍
<ruby>平塚為広<rt>ひらつかためひろ</rt></ruby>,14,55,<ruby>私<rt>わたし</rt></ruby>の<ruby>子孫<rt>しそん</rt></ruby>といえば、<ruby>誰<rt>だれ</rt></ruby>かわかりますか？,ハマボウ1,"<ruby>平塚<rt>ひらつか</rt></ruby>の<ruby>苗字<rt>みょうじ</rt></ruby>で<ruby>聞<rt>き</rt></ruby>いたことがあるのは、<span class=""A""><ruby>平塚<rt>ひらつか</rt></ruby>らいてう</span>ぐらいかなぁ……。",<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>、<ruby>正解<rt>せいかい</rt></ruby>ですよ。<ruby>実<rt>じつ</rt></ruby>は<ruby>私<rt>わたし</rt></ruby>の300<ruby>年<rt>ねん</rt></ruby><ruby>後<rt>ご</rt></ruby>の<ruby>子孫<rt>しそん</rt></ruby>が<ruby>平塚<rt>ひらつか</rt></ruby>らいてうなんです。<ruby>私<rt>わたし</rt></ruby>のような<ruby>武士<rt>ぶし</rt></ruby>ではなく、<ruby>平民<rt>へいみん</rt></ruby>たちが<ruby>皆<rt>みな</rt></ruby>で<ruby>政治<rt>せいじ</rt></ruby>をするようになった<ruby>大正時代<rt>たいしょうじだい</rt></ruby>から<ruby>昭和<rt>しょうわ</rt></ruby><ruby>時代<rt>じだい</rt></ruby>にかけて、<ruby>男性<rt>だんせい</rt></ruby>だけではなく、<ruby>女性<rt>じょせい</rt></ruby>も<ruby>選挙<rt>せんきょ</rt></ruby>に<ruby>参加<rt>さんか</rt></ruby>できるように<ruby>訴<rt>うった</rt></ruby>え<ruby>続<rt>つづ</rt></ruby>けた<ruby>人物<rt>じんぶつ</rt></ruby>だそうですよ。,西軍
<ruby>小西<rt>こにし</rt></ruby><ruby>行長<rt>ゆきなが</rt></ruby>,15,57,ワシのようなキリスト<ruby>教<rt>きょう</rt></ruby>を<ruby>信<rt>しん</rt></ruby>じていた<ruby>者<rt>もの</rt></ruby>をなんというか、<ruby>知<rt>し</rt></ruby>っておるか？,ハマボウ3,"<ruby>戦国時代<rt>せんごくじだい</rt></ruby>とか<ruby>江戸時代<rt>えどじだい</rt></ruby>にキリスト<ruby>教<rt>きょう</rt></ruby>を<ruby>信<rt>しん</rt></ruby>じていた<ruby>人<rt>ひと</rt></ruby>と<ruby>言<rt>い</rt></ruby>えば、<span class=""A"">キリシタン</span>だよね。",そうじゃ。フランシスコ・ザビエルが<ruby>日<rt>ひ</rt></ruby><ruby>ノ<rt>の</rt></ruby><ruby>本<rt>もと</rt></ruby>にやって<ruby>来<rt>き</rt></ruby>てから、ワシや<ruby>明石<rt>あかし</rt></ruby><ruby>全登<rt>てるずみ</rt></ruby><ruby>殿<rt>どの</rt></ruby>のようにキリスト<ruby>教<rt>きょう</rt></ruby>に<ruby>入<rt>はい</rt></ruby>った<ruby>者<rt>もの</rt></ruby>は<ruby>増<rt>ふ</rt></ruby>え<ruby>続<rt>つづ</rt></ruby>けていたのじゃ。<ruby>黒田長政<rt>くろだながまさ</rt></ruby><ruby>殿<rt>どの</rt></ruby>も<ruby>元<rt>もと</rt></ruby>はキリシタンだったと<ruby>聞<rt>き</rt></ruby>くぞ。でも<ruby>豊臣秀吉<rt>とよとみひでよし</rt></ruby><ruby>様<rt>さま</rt></ruby>はバテレン<ruby>追放令<rt>ついほうれい</rt></ruby>を<ruby>出<rt>だ</rt></ruby>したり、<ruby>二十六<rt>にじゅうろく</rt></ruby><ruby>人<rt>にん</rt></ruby>の<ruby>宣教師<rt>せんきょうし</rt></ruby>を<ruby>処刑<rt>しょけい</rt></ruby>したり、と<ruby>時代<rt>じだい</rt></ruby>はキリシタンを<ruby>認<rt>みと</rt></ruby>めない<ruby>方向<rt>ほうこう</rt></ruby>に<ruby>動<rt>うご</rt></ruby>いていたのじゃ。,西軍
<ruby>島津<rt>しまづ</rt></ruby><ruby>義弘<rt>よしひろ</rt></ruby>,16,59,おいん<ruby>故郷<rt>こきょう</rt></ruby>はどっかわかっか？,ハマボウ3,"その<ruby>口調<rt>くちょう</rt></ruby>……<span class=""A""><ruby>薩摩国<rt>さつまのくに</rt></ruby></span>、<ruby>今<rt>いま</rt></ruby>の<ruby>鹿児島県<rt>かごしまけん</rt></ruby>ではないですか？",やっぱいわかりやしか。そう、おいと<ruby>甥<rt>おい</rt></ruby>ん<ruby>島津豊久<rt>しまづとよひさ</rt></ruby>は<ruby>薩摩<rt>さつま</rt></ruby>ん<ruby>生<rt>う</rt></ruby>まれだ。<ruby>島津<rt>しまづ</rt></ruby>は<ruby>薩摩<rt>さつま</rt></ruby>から<ruby>九<rt>きゅう</rt></ruby><ruby>州<rt>しゅう</rt></ruby><ruby>全土<rt>ぜんど</rt></ruby>を<ruby>席巻<rt>せっけん</rt></ruby>すっ<ruby>所<rt>ところ</rt></ruby>やったんだが、<ruby>豊臣秀吉<rt>とよとみひでよし</rt></ruby>に<ruby>征伐<rt>せいばつ</rt></ruby>されてしもてな。<ruby>関ヶ原<rt>せきがはら</rt></ruby>ん<ruby>時<rt>とき</rt></ruby>は、<ruby>国許<rt>くにもと</rt></ruby>で<ruby>一揆<rt>いっき</rt></ruby>ん<ruby>対応<rt>たいおう</rt></ruby>しちょった<ruby>兄貴<rt>あにき</rt></ruby>ん<ruby>代<rt>か</rt></ruby>わりに、はっばっ<ruby>行<rt>い</rt></ruby>たんじゃ。,西軍
<ruby>島津豊久<rt>しまづとよひさ</rt></ruby>,17,61,おいたちが<ruby>使<rt>つこ</rt></ruby>うた、<ruby>薩摩<rt>さつま</rt></ruby>ならではん<ruby>戦法<rt>せんぽう</rt></ruby>はなんじゃ？,ハマボウ2,"<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>時<rt>とき</rt></ruby>に<ruby>使<rt>つか</rt></ruby>ったのは……<span class=""A""><ruby>捨<rt>す</rt></ruby>て<ruby>奸<rt>がまり</rt></ruby></span>でしたっけ？",そん<ruby>通<rt>とお</rt></ruby>り。おいは<ruby>伯父貴<rt>おじき</rt></ruby>ん<ruby>島津<rt>しまづ</rt></ruby><ruby>義弘<rt>よしひろ</rt></ruby>を<ruby>薩摩<rt>さつま</rt></ruby>に<ruby>帰<rt>かえ</rt></ruby>すために、<ruby>捨<rt>す</rt></ruby>て<ruby>奸<rt>がまり</rt></ruby>ちゅう<ruby>戦法<rt>せんぽう</rt></ruby>を<ruby>使<rt>つこ</rt></ruby>うたんじゃ。<ruby>火縄銃<rt>ひなわじゅう</rt></ruby>を<ruby>持<rt>も</rt></ruby>ち、<ruby>弾<rt>たま</rt></ruby>を<ruby>外<rt>はず</rt></ruby>さんごつ<ruby>地面<rt>じめん</rt></ruby>に<ruby>座<rt>すわ</rt></ruby>り<ruby>込<rt>こ</rt></ruby>んで<ruby>迫<rt>せま</rt></ruby>り<ruby>来<rt>く</rt></ruby>っ<ruby>敵<rt>てき</rt></ruby>を<ruby>撃<rt>う</rt></ruby>つど。こいを1<ruby>人<rt>り</rt></ruby>ずつ、けしんだや<ruby>次<rt>つぎ</rt></ruby>んし、けしんだや<ruby>次<rt>つぎ</rt></ruby>んし……と<ruby>繰<rt>く</rt></ruby>り<ruby>返<rt>かえ</rt></ruby>す。こげん<ruby>戦法<rt>せんぽう</rt></ruby>は<ruby>肝<rt>きも</rt></ruby>が<ruby>据<rt>す</rt></ruby>わっちょっ<ruby>薩摩<rt>さつま</rt></ruby>もんじゃなきゃできん。,西軍
<ruby>大野治長<rt>おおのはるなが</rt></ruby>,18,65,<ruby>私<rt>わたし</rt></ruby>がお<ruby>傍<rt>そば</rt></ruby>についていた<ruby>相手<rt>あいて</rt></ruby>は<ruby>誰<rt>だれ</rt></ruby>か、<ruby>答<rt>こた</rt></ruby>えてみよ。,シュン6,"これは、たしか<span class=""A""><ruby>淀殿<rt>よどどの</rt></ruby></span>だったよな。",ちゃんと<ruby>話<rt>はなし</rt></ruby>を<ruby>聞<rt>き</rt></ruby>いておったようだな。そう、<ruby>私<rt>わたし</rt></ruby>は<ruby>淀殿<rt>よどどの</rt></ruby>と<ruby>乳母<rt>うば</rt></ruby>が<ruby>同<rt>おな</rt></ruby>じ<ruby>乳兄弟<rt>ちきょうだい</rt></ruby>だったので、いわば<ruby>共<rt>とも</rt></ruby>に<ruby>育<rt>そだ</rt></ruby>ったということになる。<ruby>関ヶ原<rt>せきがはら</rt></ruby>が<ruby>終<rt>お</rt></ruby>わって<ruby>大坂<rt>おおさか</rt></ruby>に<ruby>赴<rt>おもむ</rt></ruby>いた<ruby>時<rt>とき</rt></ruby>も、<ruby>淀殿<rt>よどどの</rt></ruby>との<ruby>縁<rt>えん</rt></ruby>があったので<ruby>徳川<rt>とくがわ</rt></ruby>に<ruby>戻<rt>もど</rt></ruby>るのではなく<ruby>豊臣<rt>とよとみ</rt></ruby>と<ruby>運命<rt>うんめい</rt></ruby>をともにすることを<ruby>選<rt>えら</rt></ruby>んだのだ。,東軍
<ruby>可児<rt>かに</rt></ruby><ruby>才蔵<rt>さいぞう</rt></ruby>,19,67,<ruby>私<rt>わたし</rt></ruby>が<ruby>笹<rt>ささ</rt></ruby>を<ruby>刺<rt>さ</rt></ruby>した<ruby>首級<rt>しゅきゅう</rt></ruby>の<ruby>数<rt>かず</rt></ruby>を<ruby>答<rt>こた</rt></ruby>えてみてくれ。,ハマボウ3,"これは……たしか<span class=""A"">17</span>だったような？　17<ruby>人<rt>にん</rt></ruby>も<ruby>討<rt>う</rt></ruby>ち<ruby>取<rt>と</rt></ruby>るなんて<ruby>凄<rt>すご</rt></ruby>いですね！",ハッハッハッ、<ruby>細<rt>こま</rt></ruby>かい<ruby>所<rt>ところ</rt></ruby>もよく<ruby>聞<rt>き</rt></ruby>いているではないか。そうだ、<ruby>私<rt>わたし</rt></ruby>は17<ruby>人<rt>にん</rt></ruby>も<ruby>討<rt>う</rt></ruby>ち<ruby>取<rt>と</rt></ruby>って<ruby>見<rt>み</rt></ruby>せた。<ruby>当時<rt>とうじ</rt></ruby>それを<ruby>示<rt>しめ</rt></ruby>すには<ruby>首実検<rt>くびじっけん</rt></ruby>に<ruby>首<rt>くび</rt></ruby>を<ruby>持<rt>も</rt></ruby>っていかなければならなかったのだが、さすがに17の<ruby>首<rt>くび</rt></ruby><ruby>全<rt>すべ</rt></ruby>てを<ruby>持<rt>も</rt></ruby>っていく<ruby>訳<rt>わけ</rt></ruby>には<ruby>参<rt>まい</rt></ruby>らなかったので<ruby>笹<rt>ささ</rt></ruby>を<ruby>刺<rt>さ</rt></ruby>して<ruby>示<rt>しめ</rt></ruby>したというわけだ。<ruby>笹<rt>ささ</rt></ruby>と<ruby>酒<rt>さけ</rt></ruby>がおなじ<ruby>さ<rt>・</rt></ruby><ruby>さ<rt>・</rt></ruby>と<ruby>読<rt>よ</rt></ruby>むから<ruby>手向<rt>たむ</rt></ruby>けの<ruby>意味<rt>いみ</rt></ruby>もあったのだ。,東軍
<ruby>福島<rt>ふくしま</rt></ruby><ruby>正則<rt>まさのり</rt></ruby>,20,69,<ruby>俺様<rt>おれさま</rt></ruby>が<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>後<rt>あと</rt></ruby>にもらった<ruby>場所<rt>ばしょ</rt></ruby>はどこだ？,シュン5,"これは<span class=""A""><ruby>広島<rt>ひろしま</rt></ruby></span>って<ruby>言<rt>い</rt></ruby>ってたぜ！",ワーハッハッハッ、よく<ruby>聞<rt>き</rt></ruby>いてるじゃねえか<ruby>小僧<rt>こぞう</rt></ruby>！　そうだ、<ruby>俺<rt>おれ</rt></ruby>は<ruby>東軍<rt>とうぐん</rt></ruby><ruby>西軍<rt>せいぐん</rt></ruby>どっちつかずな<ruby>態度<rt>たいど</rt></ruby>を<ruby>取<rt>と</rt></ruby>って<ruby>減封<rt>げんぽう</rt></ruby>された<ruby>毛利<rt>もうり</rt></ruby><ruby>輝元<rt>てるもと</rt></ruby>の<ruby>領地<rt>りょうち</rt></ruby>だった<ruby>広島<rt>ひろしま</rt></ruby>498000<ruby>石<rt>ごく</rt></ruby>を<ruby>手<rt>て</rt></ruby>に<ruby>入<rt>い</rt></ruby>れたんだぜ。<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>前<rt>まえ</rt></ruby>と<ruby>比<rt>くら</rt></ruby>べりゃ<ruby>倍<rt>ばい</rt></ruby>になったんだ。せっかく<ruby>建<rt>た</rt></ruby>てた<ruby>広島城<rt>ひろしまじょう</rt></ruby>をそっくりそのまま<ruby>取<rt>と</rt></ruby>られちまうなんて<ruby>哀<rt>あわ</rt></ruby>れな<ruby>話<rt>はなし</rt></ruby>だよな。……なんだその<ruby>顔<rt>かお</rt></ruby>は、<ruby>改易<rt>かいえき</rt></ruby>の<ruby>話<rt>はなし</rt></ruby>はもうよしてくれよ……とほほ。,東軍
<ruby>山内一豊<rt>やまうちかずとよ</rt></ruby>,21,71,<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>後<rt>あと</rt></ruby>、<ruby>手前<rt>てまえ</rt></ruby>が<ruby>転封<rt>てんぽう</rt></ruby>になった<ruby>先<rt>さき</rt></ruby>はどこでごさいましょう？,シュン5,"それは<span class=""A""><ruby>土佐国<rt>とさのくに</rt></ruby></span>だぜ！　<ruby>土佐<rt>とさ</rt></ruby><ruby>藩<rt>はん</rt></ruby>になったんだよな！　<ruby>山内<rt>やまうち</rt></ruby><ruby>容堂<rt>ようどう</rt></ruby>とか<ruby>聞<rt>き</rt></ruby>いたことあるぜ！",<ruby>天晴<rt>あっぱ</rt></ruby>れ、その<ruby>通<rt>とお</rt></ruby>りでございます。<ruby>当初<rt>とうしょ</rt></ruby>は10<ruby>万石<rt>まんごく</rt></ruby><ruby>程<rt>ほど</rt></ruby>でしたが<ruby>実際<rt>じっさい</rt></ruby>は20<ruby>万石<rt>まんごく</rt></ruby><ruby>以上<rt>いじょう</rt></ruby>もあったのですよ。<ruby>最初<rt>さいしょ</rt></ruby>は<ruby>旧<rt>きゅう</rt></ruby><ruby>領主<rt>りょうしゅ</rt></ruby>の<ruby>長宗我部<rt>ちょうそかべ</rt></ruby>の<ruby>残党<rt>ざんとう</rt></ruby>を<ruby>治<rt>おさ</rt></ruby>めるのに<ruby>苦労<rt>くろう</rt></ruby>することになりました。そして、<ruby>手前<rt>てまえ</rt></ruby>の<ruby>土佐<rt>とさ</rt></ruby><ruby>藩<rt>はん</rt></ruby>はあなたの<ruby>言<rt>い</rt></ruby>う<ruby>通<rt>とお</rt></ruby>り、<ruby>土佐<rt>とさ</rt></ruby><ruby>藩<rt>はん</rt></ruby><ruby>最後<rt>さいご</rt></ruby>の<ruby>藩主<rt>はんしゅ</rt></ruby><ruby>山内<rt>やまうち</rt></ruby><ruby>容堂<rt>ようどう</rt></ruby>そして、<ruby>浪士<rt>ろうし</rt></ruby>となった<ruby>坂本<rt>さかもと</rt></ruby><ruby>龍馬<rt>りょうま</rt></ruby>をはじめとして、あの<ruby>江戸<rt>えど</rt></ruby><ruby>幕府<rt>ばくふ</rt></ruby>を<ruby>倒<rt>たお</rt></ruby>す<ruby>中核<rt>ちゅうかく</rt></ruby>を<ruby>担<rt>にな</rt></ruby>ったと<ruby>聞<rt>き</rt></ruby>いておりますよ。,東軍
<ruby>細川<rt>ほそかわ</rt></ruby><ruby>忠興<rt>ただおき</rt></ruby>,22,73,<ruby>俺<rt>おれ</rt></ruby>の<ruby>最愛<rt>さいあい</rt></ruby>の<ruby>妻<rt>つま</rt></ruby>の<ruby>名<rt>な</rt></ruby>を<ruby>答<rt>こた</rt></ruby>えよ。<ruby>答<rt>こた</rt></ruby>えられなければ、どうなるかわかっているな？,シュン7,"ひえぇぇ……えーと、<span class=""A"">ガラシャ</span>さんですよね。",フン、<ruby>首<rt>くび</rt></ruby>の<ruby>皮<rt>かわ</rt></ruby>は<ruby>繋<rt>つな</rt></ruby>がったようだな。そうだガラシャだ。ガラシャはキリスト<ruby>教<rt>きょう</rt></ruby>に<ruby>入信<rt>にゅうしん</rt></ruby>した<ruby>時<rt>とき</rt></ruby>の<ruby>洗礼<rt>せんれい</rt></ruby><ruby>名<rt>めい</rt></ruby>で、<ruby>元<rt>もと</rt></ruby>は<ruby>本能寺<rt>ほんのうじ</rt></ruby>の<ruby>変<rt>へん</rt></ruby>で<ruby>織田<rt>おだ</rt></ruby><ruby>信長<rt>のぶなが</rt></ruby>を<ruby>討<rt>う</rt></ruby>った<ruby>明智<rt>あけち</rt></ruby><ruby>光秀<rt>みつひで</rt></ruby>の<ruby>娘<rt>むすめ</rt></ruby>だからな、<ruby>本名<rt>ほんみょう</rt></ruby>は<ruby>違<rt>ちが</rt></ruby>うのだ。<ruby>本名<rt>ほんみょう</rt></ruby>が<ruby>違<rt>ちが</rt></ruby>うといえば、<ruby>俺<rt>おれ</rt></ruby><ruby>自身<rt>じしん</rt></ruby>も<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>頃<rt>ころ</rt></ruby>、<ruby>長岡<rt>ながおか</rt></ruby><ruby>忠興<rt>ただおき</rt></ruby>を<ruby>名乗<rt>なの</rt></ruby>っていたな。<ruby>脳<rt>のう</rt></ruby>みそに<ruby>焼<rt>や</rt></ruby>き<ruby>付<rt>つ</rt></ruby>けておけ。,東軍
<ruby>細川興元<rt>ほそかわおきもと</rt></ruby>,23,75,<ruby>僕<rt>ぼく</rt></ruby>の<ruby>兄<rt>あに</rt></ruby>は<ruby>誰<rt>だれ</rt></ruby>でしょうか？,シオリン5,"えと……<span class=""A""><ruby>細川<rt>ほそかわ</rt></ruby><ruby>忠興<rt>ただおき</rt></ruby></span>さんじゃないかしら？",そうだね。<ruby>名字<rt>みょうじ</rt></ruby>が<ruby>同<rt>おな</rt></ruby>じだからわかりやすかったかな？　<ruby>僕<rt>ぼく</rt></ruby>の<ruby>兄<rt>あに</rt></ruby>は<ruby>気難しい<rt>きむずか\|しい</rt></ruby><ruby>人<rt>ひと</rt></ruby>だったから<ruby>僕<rt>ぼく</rt></ruby>との<ruby>仲<rt>なか</rt></ruby>も<ruby>良<rt>よ</rt></ruby>いものではなかった、とされるけど<ruby>僕<rt>ぼく</rt></ruby>と<ruby>仲<rt>なか</rt></ruby>が<ruby>良<rt>よ</rt></ruby>かったという<ruby>噂<rt>うわさ</rt></ruby>もあって、はっきり<ruby>言<rt>い</rt></ruby>えるものじゃないんだ。<ruby>僕<rt>ぼく</rt></ruby>としても<ruby>難<rt>むずか</rt></ruby>しい<ruby>人<rt>ひと</rt></ruby>だったよ。,東軍
<ruby>柳生<rt>やぎゅう</rt></ruby><ruby>宗矩<rt>むねのり</rt></ruby>,24,77,<ruby>江戸<rt>えど</rt></ruby><ruby>幕府<rt>ばくふ</rt></ruby>において<ruby>剣術<rt>けんじゅつ</rt></ruby>として<ruby>認<rt>みと</rt></ruby>められた<ruby>儂<rt>わし</rt></ruby>の<ruby>流派<rt>りゅうは</rt></ruby>は、なんと<ruby>言<rt>い</rt></ruby>うかわかるか？,ハマボウ3,"<ruby>江戸<rt>えど</rt></ruby><ruby>幕府<rt>ばくふ</rt></ruby><ruby>公認<rt>こうにん</rt></ruby>の<ruby>流派<rt>りゅうは</rt></ruby>といえば<span class=""A""><ruby>柳生<rt>やぎゅう</rt></ruby><ruby>新陰流<rt>しんかげりゅう</rt></ruby></span>ですよね。",その<ruby>通<rt>とお</rt></ruby>り。<ruby>室町時代<rt>むろまちじだい</rt></ruby>に<ruby>生<rt>う</rt></ruby>まれた<ruby>陰流<rt>かげりゅう</rt></ruby>から<ruby>派生<rt>はせい</rt></ruby>した<ruby>新陰流<rt>しんかげりゅう</rt></ruby>を、<ruby>更<rt>さら</rt></ruby>に<ruby>父<rt>ちち</rt></ruby>の<ruby>宗厳<rt>むねよし</rt></ruby>と<ruby>共<rt>とも</rt></ruby>に<ruby>発展<rt>はってん</rt></ruby>させて<ruby>編<rt>あ</rt></ruby>み<ruby>出<rt>だ</rt></ruby>した<ruby>流派<rt>りゅうは</rt></ruby>が<ruby>柳生<rt>やぎゅう</rt></ruby><ruby>新陰流<rt>しんかげりゅう</rt></ruby>だ。<ruby>素手<rt>すで</rt></ruby>で<ruby>戦<rt>たたか</rt></ruby>う<ruby>柔術<rt>じゅうじゅつ</rt></ruby>を<ruby>剣術<rt>けんじゅつ</rt></ruby>に<ruby>組<rt>く</rt></ruby>み<ruby>込<rt>こ</rt></ruby>んだのが<ruby>特徴<rt>とくちょう</rt></ruby>で、<ruby>儂<rt>わし</rt></ruby>が<ruby>得意<rt>とくい</rt></ruby>とした<ruby>無刀<rt>むとう</rt></ruby><ruby>取<rt>ど</rt></ruby>りも、その<ruby>範疇<rt>はんちゅう</rt></ruby>にある。,東軍
<ruby>後藤<rt>ごとう</rt></ruby><ruby>又兵衛<rt>またべえ</rt></ruby>,25,79,<ruby>俺<rt>おれ</rt></ruby>が<ruby>得意<rt>とくい</rt></ruby>としていた<ruby>武器<rt>ぶき</rt></ruby>といえば……わかるだろ？,シュン5,"それは<span class=""A""><ruby>槍<rt>やり</rt></ruby></span>だよ！　<ruby>槍<rt>やり</rt></ruby>の<ruby>又兵衛<rt>またべえ</rt></ruby>って<ruby>有名<rt>ゆうめい</rt></ruby>だもん！",おぉ！　<ruby>俺<rt>おれ</rt></ruby>の<ruby>二つ名<rt>ふた\|つ\|な</rt></ruby>までよく<ruby>知<rt>し</rt></ruby>ってるじゃねぇか。<ruby>俺<rt>おれ</rt></ruby>は<ruby>朝鮮<rt>ちょうせん</rt></ruby>の<ruby>役<rt>えき</rt></ruby>で<ruby>戦場<rt>せんじょう</rt></ruby>を<ruby>共<rt>とも</rt></ruby>にした<ruby>母里<rt>もり</rt></ruby><ruby>太兵衛<rt>たへえ</rt></ruby>って<ruby>奴<rt>やつ</rt></ruby>の<ruby>窮地<rt>きゅうち</rt></ruby>を<ruby>救<rt>すく</rt></ruby>ってやった<ruby>事<rt>こと</rt></ruby>があってな、<ruby>日本号<rt>にほんごう</rt></ruby>という<ruby>名槍<rt>めいそう</rt></ruby>をもらったんだ。<ruby>関ヶ原<rt>せきがはら</rt></ruby>でもそれを<ruby>持<rt>も</rt></ruby>って<ruby>大暴<rt>おおあば</rt></ruby>れ、<ruby>敵<rt>てき</rt></ruby>と<ruby>一騎<rt>いっき</rt></ruby><ruby>打<rt>う</rt></ruby>ちまでしてやったんだ。ハハハ。,東軍
